start_node,end_node,np
100077,101074,1
100639,100643,0
100627,100643,0
100627,100628,0
100628,100652,0
100628,100634,0
100529,100459,0
100529,100456,0
100527,100528,0
100299,100214,0
100161,103161,0
100599,100501,0
100699,100601,0
100899,100830,0
102199,102709,0
100120,100147,0
100142,100154,1
100142,100154,2
102138,102139,1
102138,102139,2
102119,102107,1
101139,102139,0
101146,102139,0
102139,100798,0
102176,102177,0
102120,102123,0
102123,102124,0
102124,102125,0
102125,102126,0
102142,100743,0
102142,100748,0
102193,102194,0
102194,102195,0
102195,102793,1
102195,102793,2
100743,102744,0
102743,102744,0
102744,100753,0
102744,100752,0
102752,102798,0
102763,102767,0
102771,102792,0
102780,102784,0
102794,102795,0
102795,102797,0
100077,100082,4
100829,100849,0
100794,102799,1
100794,102799,2
100013,101010,1
100013,101010,2
101009,101010,0
100817,100836,1
100817,100836,2
100817,100837,0
100818,100837,0
100840,100837,0
100437,101453,0
100404,101453,0
101142,102100,0
101150,102100,0
102100,102138,3
102100,102138,4
1002085,102795,1
1002085,102795,2
101001,101011,0
100455,101471,0
100475,101472,0
100475,101473,0
100475,101474,0
101776,100833,0
100817,100833,0
102706,102704,0
102704,102705,0
102705,100711,0
102705,101146,0
100197,100303,1
100197,100303,2
102162,101153,0
101149,102162,0
102162,102192,4
102162,102192,3
101189,102161,0
101152,102161,0
102161,102191,2
102161,102191,1
100325,100366,0
100365,100366,0
100325,100367,0
100365,100367,0
100325,100368,0
100365,100368,0
100325,100331,0
100330,100331,0
100325,100332,0
100332,100324,0
100325,100333,0
100333,100324,0
100325,100334,0
100334,100326,0
100325,100335,0
100335,100326,0
100325,100336,0
100336,100310,0
100337,100325,0
100310,100337,0
100325,100338,0
100319,100338,0
100325,100339,0
100339,100319,0
100066,101068,0
100066,101063,0
100069,101069,0
100069,101063,0
101068,100067,0
101069,101068,0
100067,101063,0
100002,101053,0
101053,101052,0
100002,101054,0
101054,101052,0
100050,101052,1
100050,101052,2
100079,101022,0
100082,101022,0
100022,101022,0
100084,101082,1
100084,101082,2
100082,101082,1
100082,101082,2
100082,101082,3
100082,101082,4
101085,100085,0
100002,101085,0
100002,101086,0
101086,100085,0
101015,101017,0
101017,100085,0
101014,101015,0
100001,101014,0
100011,101006,1
100011,101006,2
100011,101006,3
100011,101006,4
100006,101006,1
100006,101006,2
101016,101015,0
101016,101013,0
100067,101027,0
100027,101027,0
101009,101019,0
101010,101019,0
100006,101060,0
100006,101007,0
101084,100085,0
100048,101048,0
101048,100061,0
100057,101018,1
100057,101018,2
101018,100009,0
100013,101087,0
101087,101013,0
100013,101088,0
101088,101013,0
100013,101089,0
101089,101013,0
101013,101020,0
101020,100013,0
101013,101021,0
101021,100013,1
101021,100013,2
100315,100317,1
100315,100317,2
100054,101030,0
100054,101039,0
100054,101038,0
100054,101037,0
100054,101036,0
100248,102206,0
100248,102205,0
102214,102204,0
100248,102203,0
102212,102202,0
100249,102201,0
100054,101035,0
102789,102795,0
102794,102789,0
102794,102790,0
102790,100794,0
102790,102791,0
102120,102788,0
102130,102788,0
102791,102788,0
100847,100826,0
100847,100827,0
100817,100812,0
101192,102197,0
102197,100033,0
103160,100161,0
100467,100478,1
100467,100478,2
100416,100419,1
100416,100419,2
100640,100644,2
100640,100644,3
100404,100437,1
100404,100437,2
100433,100463,1
100433,100463,2
100523,100540,1
100543,100540,2
100530,100525,1
100530,100525,2
100442,100462,1
100442,100462,2
100419,100478,1
100419,100478,2
103115,100115,1
103115,100115,2
103115,100103,1
