number,name
100883,ИрГРЭС_потребите
100473,Ависма_Титан
100491,Ависма_Соликамск
101004,Отп. Первоуральс
103177,Челябинская ТЭЦ-
100513,Игра 1С
100514,Игра 2С
101435,Буйская_Лукойл П
102267,НСалТЭЦ-1
102268,НСалТЭЦ-2
100609,Кировская ТЭЦ-5
100897,Ленинская
100856,Сакмарская СЭС
100604,Коминтерн
205015,Вешкайма
205101,ЖГЭС500
205102,ЖГЭС110
205103,ЖГЭС220 2с
205104,ЖГЭС220 3с
205105,Сызрань110
205106,Сызрань220
205107,Печ.Берег
205108,Левобер.220 - 2
205109,Левобер.220 - 1
205110,ТоТЭЦ
205213,Аткарск-110
205212,Янтарная
205111,ТЭЦВАЗа
205113,Кировская
205114,СамТЭЦ
205115,Орловская220
205116,Орловская110
205117,Куйбыш.220
205118,Н.Отрадн.220
205119,Кинель220
205120,Кинель110
205121,Кротовка
205122,Н.Отрадн.110
205123,БТЭЦ
205124,Кировская 110
205126,Кряж
205127,Зубчаниновка
205128,НкТЭЦ1
205129,НкТЭЦ2
205131,Томылово220
205132,Томылово110
205133,отп. на Южную
205134,Рачейка
205136,Подбельск
205137,Просвет220
205138,Просвет110
205139,Подбельск
205140,Южная220-2
205141,Солнечная
205143,ЖГЭС500
205144,ЖГЭС500
205145,Комсомол.220
205146,Комсомол.110
205147,Пр.Волга
205148,Головная220
205150,Куйбыш.500
205152,Азот500
205154,Азот220
205155,Серноводск220
205156,Азот110
205157,Азот СамЭС
205179,отп. Салют1-Кине
205178,отп. АВИС1-Салют
205165,отп. АВИС2-Кинел
205173,отп.НФТП2-Овощ1
205168,отп.Никол-Юж-2
205160,Толевая экв.
205158,Сернов110
205159,Васильевская
205161,"ЖГЭСгг3-8,12-14"
205162,"ЖГЭСгг1,2"
205163,"ЖГЭСгг15,16"
205164,"ЖГЭСгг17,18"
205170,Кубра220
205171,Кубра110
205172,СызрТЭЦ
205177,Южная 110
205176,Поляково
205180,Чапаевская
205181,Головная110
205185,Садовая
205188,Елизаветинка
205190,Восточная
205191,Кармала
205192,Жигулевск
205193,Ч.Вершины
205198,КС-22-1
205199,КС-22-2
205201,Возрождение
205202,СарГЭС220
205203,СарГЭСгг1-24
205206,Балаковская-110
205207,Кр.Яр110
205208,Ершов110
205209,1 сек.Вольск
205210,Саратовская220
205211,СарТЭЦ5
205214,Хопер110
205215,Ершов220
205216,Хопер220
205217,СарТЭЦ1
205219,Кировская
205218,СарТЭЦ2
205220,ЭнгТЭЦ3
